"Местное время в Караганде / Сары-Арке (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"28.09.2020 02:00";"4.0";"722.4";"771.9";"81";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"28.09.2020 01:30";"4.0";"722.4";"771.9";"81";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"28.09.2020 01:00";"4.0";"722.4";"771.9";"81";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"28.09.2020 00:30";"4.0";"722.4";"771.9";"81";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"28.09.2020 00:00";"5.0";"722.5";"771.9";"76";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"27.09.2020 23:30";"4.0";"722.4";"771.9";"81";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Разорванная (60-90%) 1440 м";"10.0 и более";"1.0";
"27.09.2020 23:00";"5.0";"722.5";"771.9";"76";"Ветер, дующий с северо-востока";"3";"";"";"";"Разорванная (60-90%) 1440 м";"10.0 и более";"1.0";
"27.09.2020 22:30";"5.0";"722.5";"771.9";"76";"Ветер, дующий с северо-востока";"3";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"1.0";
"27.09.2020 22:00";"5.0";"722.5";"771.9";"76";"Ветер, дующий с северо-востока";"3";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"1.0";
"27.09.2020 21:30";"6.0";"723.5";"772.7";"71";"Ветер, дующий с северо-востока";"3";"";"";"";"Разорванная (60-90%) 1380 м";"10.0 и более";"1.0";
"27.09.2020 21:00";"6.0";"722.7";"771.9";"71";"Ветер, дующий с северо-востока";"3";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"1.0";
"27.09.2020 20:30";"6.0";"722.7";"771.9";"71";"Ветер, дующий с северо-востока";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"1.0";
"27.09.2020 20:00";"7.0";"722.9";"771.9";"61";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"0.0";
"27.09.2020 19:30";"7.0";"722.9";"771.9";"57";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"-1.0";
"27.09.2020 19:00";"8.0";"723.1";"771.9";"57";"Ветер, дующий с северо-востока";"4";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"0.0";
"27.09.2020 18:30";"9.0";"723.2";"771.9";"50";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"-1.0";
"27.09.2020 18:00";"9.0";"723.2";"771.9";"50";"Ветер, дующий с северо-востока";"7";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"-1.0";
"27.09.2020 17:30";"9.0";"723.2";"771.9";"50";"Ветер, дующий с северо-северо-востока";"6";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"-1.0";
"27.09.2020 17:00";"11.0";"723.6";"771.9";"44";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Разорванная (60-90%) 1290 м";"10.0 и более";"-1.0";
